,ID_PRET,SEXE,AGE,OCCUPATION,SOURCE_REVENU,REVENU_TOTAL,VOITURE,IMMOBILIER,DETTE_TOTALE
94,100026,F,31,Sales staff,Working,450000.0,N,N,2542576.5
210,100054,F,55,Medicine staff,Working,99000.0,N,Y,0.0
810,100203,F,69,Not applicable / Not specified,Pensioner,54000.0,N,N,83124.0
953,100234,F,45,Core staff,Working,67500.0,N,N,469242.0
1061,100257,F,63,Not applicable / Not specified,Pensioner,90000.0,N,Y,87210.0
1124,100276,F,34,Private service staff,Working,135000.0,Y,Y,267219.0
2926,100725,F,31,Not applicable / Not specified,Working,112500.0,Y,Y,0.0
3568,100875,F,28,Laborers,Commercial associate,126000.0,N,Y,2417757.885
3618,100888,F,52,High skill tech staff,Commercial associate,135000.0,Y,N,0.0
3702,100904,F,49,Sales staff,Working,45000.0,N,Y,0.0
3761,100924,M,41,Drivers,Working,202500.0,N,Y,0.0
4054,101006,F,63,Not applicable / Not specified,Pensioner,180000.0,N,N,441787.5
4370,101077,M,45,Drivers,Commercial associate,202500.0,Y,Y,0.0
4376,101081,M,57,Laborers,Working,117000.0,N,Y,1537066.035
4631,101153,F,39,Cleaning staff,Commercial associate,225000.0,N,Y,116685.0
4981,101247,F,59,Not applicable / Not specified,Pensioner,67500.0,N,Y,0.0
5548,101415,F,64,Not applicable / Not specified,Pensioner,135000.0,N,Y,366979.5
5768,101481,M,35,Laborers,Commercial associate,270000.0,Y,Y,1890153.0
6406,101635,M,55,Not applicable / Not specified,Commercial associate,225000.0,Y,N,0.0
6528,101662,F,25,Sales staff,Working,90000.0,N,Y,5381982.0
6570,101677,F,51,Sales staff,Working,270000.0,Y,Y,0.0
7011,101774,M,41,Not applicable / Not specified,Commercial associate,135000.0,Y,Y,62802.0
8311,102091,F,51,High skill tech staff,Working,216000.0,Y,Y,4851265.5
8619,102155,F,47,Sales staff,Commercial associate,157500.0,N,N,0.0
9804,102426,F,37,Accountants,Working,315000.0,Y,Y,2330815.5
10247,102546,F,60,Not applicable / Not specified,Pensioner,135000.0,N,Y,0.0
10301,102554,M,52,Laborers,Working,135000.0,Y,N,47169.0
10454,102593,F,44,Not applicable / Not specified,Commercial associate,202500.0,N,Y,193576.5
10640,102629,F,58,Sales staff,Working,112500.0,N,N,260131.5
11202,102748,F,67,Not applicable / Not specified,Pensioner,67500.0,N,N,44680.5
11296,102771,F,31,Medicine staff,State servant,121500.0,Y,N,343543.5
11348,102783,F,57,Not applicable / Not specified,Pensioner,76500.0,N,N,149224.5
13009,103185,F,49,High skill tech staff,Working,202500.0,N,Y,0.0
13096,103203,M,31,Laborers,Working,180000.0,Y,Y,214335.0
14131,103431,F,50,Sales staff,Working,72000.0,N,N,661959.0
14399,103508,F,61,Not applicable / Not specified,Pensioner,112500.0,N,Y,0.0
15418,103761,F,52,Core staff,Working,94500.0,Y,N,0.0
15458,103766,F,43,Laborers,Commercial associate,135000.0,N,Y,260005.5
15668,103821,F,48,Not applicable / Not specified,Working,180000.0,N,Y,0.0
15718,103833,F,50,Sales staff,Working,180000.0,N,Y,0.0
16274,103953,F,53,Core staff,Working,171000.0,N,Y,435249.0
17760,104286,F,62,Not applicable / Not specified,Pensioner,90000.0,N,N,0.0
18370,104452,F,35,Not applicable / Not specified,Commercial associate,270000.0,N,Y,190611.0
18422,104474,F,56,Not applicable / Not specified,Pensioner,189000.0,N,N,181440.0
18482,104494,M,23,Laborers,Working,130500.0,N,N,0.0
18541,104519,F,65,Not applicable / Not specified,Pensioner,225000.0,N,Y,65880.0
19311,104711,F,23,Not applicable / Not specified,Working,135000.0,N,N,0.0
20328,104949,F,48,Laborers,Working,65250.0,N,Y,14512.5
20381,104961,F,51,High skill tech staff,Working,247500.0,Y,Y,3424050.0
20806,105057,F,28,Core staff,Commercial associate,90000.0,N,N,64840.5
22005,105341,F,47,Core staff,Commercial associate,225000.0,Y,Y,0.0
22770,105513,F,64,Not applicable / Not specified,Pensioner,135000.0,N,Y,62370.0
22841,105533,M,49,Managers,Working,427500.0,N,Y,1382427.0
23361,105649,F,66,Not applicable / Not specified,Pensioner,81000.0,N,Y,326431.44
23654,105721,F,36,Not applicable / Not specified,Commercial associate,135000.0,Y,N,0.0
23826,105770,M,39,Not applicable / Not specified,Working,180000.0,N,Y,0.0
24144,105854,F,50,High skill tech staff,Working,90000.0,N,Y,199102.5
24888,106048,F,29,Sales staff,Working,90000.0,N,N,69399.0
25506,106177,F,31,Private service staff,Commercial associate,90000.0,Y,Y,0.0
25770,106244,F,47,Laborers,State servant,76500.0,N,Y,483430.5
26277,106378,F,30,Accountants,Working,247500.0,Y,Y,1199758.5
29204,107040,M,53,Not applicable / Not specified,Pensioner,85500.0,N,Y,247779.0
29421,107087,M,35,Drivers,Working,202500.0,N,Y,229396.5
29509,107106,M,34,Managers,Commercial associate,391500.0,Y,Y,0.0
29617,107138,M,28,Drivers,Commercial associate,225000.0,Y,N,0.0
29644,107143,M,47,High skill tech staff,Working,292500.0,N,Y,190777.5
30638,107363,F,52,Laborers,Working,135000.0,N,Y,0.0
30807,107407,F,39,Laborers,Commercial associate,90000.0,N,N,0.0
31091,107482,F,26,Not applicable / Not specified,Commercial associate,157500.0,N,Y,0.0
31245,107517,F,65,Not applicable / Not specified,Pensioner,90000.0,N,Y,84883.5
31694,107609,M,46,Drivers,Working,157500.0,N,Y,860121.0
32170,107720,M,34,Laborers,Commercial associate,207000.0,Y,N,0.0
32945,107917,F,48,Core staff,Working,292500.0,N,Y,562068.0
33107,107956,F,54,Core staff,State servant,103500.0,N,Y,77341.5
33930,108159,M,57,Not applicable / Not specified,Pensioner,135000.0,N,Y,225000.0
34092,108205,F,29,High skill tech staff,Working,135000.0,Y,Y,2878645.5
34198,108230,M,44,Security staff,Working,157500.0,Y,N,216837.0
34488,108300,M,32,Core staff,Working,112500.0,N,Y,0.0
34970,108410,F,52,Medicine staff,State servant,180000.0,Y,Y,1881252.0
35191,108463,F,29,Cooking staff,Working,112500.0,N,Y,377528.58
36517,108776,M,60,Not applicable / Not specified,Pensioner,180000.0,Y,Y,18054.0
36690,108815,F,42,Core staff,Working,112500.0,Y,Y,69318.0
36860,108866,M,52,Laborers,Working,202500.0,Y,Y,45351.0
38186,109214,F,54,High skill tech staff,Working,90000.0,N,Y,0.0
38420,109259,F,44,Not applicable / Not specified,Working,162000.0,N,Y,1209667.5
39097,109406,F,39,Laborers,Working,90000.0,N,Y,0.0
39468,109514,F,56,Cooking staff,Commercial associate,123750.0,Y,Y,53158.545
39485,109520,F,28,Core staff,State servant,103500.0,N,Y,0.0
40077,109657,F,56,Core staff,Working,112500.0,N,Y,257467.5
40341,109716,M,59,Drivers,Working,315000.0,Y,Y,0.0
40460,109744,F,35,Core staff,Working,81000.0,Y,Y,256301.685
41965,110099,F,41,Medicine staff,Working,180000.0,N,N,882967.5
42240,110160,M,28,Laborers,Working,90000.0,N,Y,120492.0
42835,110308,F,57,Sales staff,Working,117000.0,N,N,0.0
43529,110467,M,57,Drivers,Working,112500.0,N,Y,0.0
43946,110560,F,53,Not applicable / Not specified,Working,193500.0,N,Y,0.0
44407,110665,F,58,Not applicable / Not specified,Pensioner,130500.0,N,N,0.0
44655,110728,F,43,Core staff,State servant,193500.0,N,Y,123507.0
45838,110992,F,24,Waiters/barmen staff,Working,202500.0,Y,N,0.0
46178,111067,F,56,Managers,Commercial associate,202500.0,N,Y,0.0
46413,111118,F,35,Cooking staff,Working,202500.0,Y,Y,16636.32
46461,111134,M,53,Not applicable / Not specified,Working,121500.0,Y,Y,682209.0
48310,111609,M,51,Drivers,Working,67500.0,Y,Y,43159.23
49393,111861,F,54,Sales staff,Working,90000.0,N,Y,2415001.5
49935,111981,F,47,Not applicable / Not specified,Working,112500.0,N,Y,0.0
50758,112183,F,43,Laborers,Working,85500.0,N,Y,0.0
50832,112201,M,44,Managers,Commercial associate,315000.0,Y,N,3985285.5
50944,112230,F,40,Laborers,Working,90000.0,N,Y,0.0
52019,112524,F,37,Cleaning staff,Working,126000.0,N,Y,411151.5
52235,112573,M,28,Laborers,Commercial associate,495000.0,Y,Y,0.0
52985,112772,F,54,Not applicable / Not specified,Pensioner,225000.0,Y,Y,0.0
54469,113145,F,41,Core staff,Commercial associate,328500.0,N,Y,1473745.5
54740,113210,M,64,Not applicable / Not specified,Pensioner,130500.0,N,Y,0.0
54849,113231,F,57,Not applicable / Not specified,Pensioner,81000.0,N,Y,490225.5
55134,113295,F,42,Managers,Commercial associate,450000.0,Y,Y,5082984.0
55776,113463,F,36,Realty agents,Commercial associate,157500.0,Y,N,9096696.0
56151,113553,M,38,High skill tech staff,Working,270000.0,Y,N,309078.0
56288,113594,M,36,Laborers,Commercial associate,270000.0,N,Y,1174315.5
56995,113775,F,52,Accountants,Commercial associate,225000.0,Y,Y,0.0
58682,114165,M,33,Managers,Working,225000.0,N,Y,0.0
