,ID_PRET,TYPE_CREDIT,MONTANT_CREDIT,MONTANT_ANNUITE,SCORE_EXT_1,SCORE_EXT_2,SCORE_EXT_3,CODE_REJET,OBJET_PRET,RETARD_PAIEMENT_MAX,RETARD_PAIEMENT_TOTAL,STATUT_PRET
22,100026,Cash loans,497520.0,32521.5,0.0,0.46,0.36,XAP,XAP,0.0,0.0,Not applicable / Not specified
47,100054,Cash loans,260640.0,26838.0,0.0,0.09,0.73,XAP,XAP,0.0,0.0,C
174,100203,Cash loans,119925.0,11097.0,0.0,0.64,0.54,0,0,0.0,0.0,Not applicable / Not specified
201,100234,Revolving loans,180000.0,9000.0,0.0,0.58,0.72,XAP,XAP,2781.0,0.0,Not applicable / Not specified
220,100257,Cash loans,312768.0,16119.0,0.0,0.52,0.73,XAP,XNA,0.0,0.0,Not applicable / Not specified
238,100276,Cash loans,497520.0,39438.0,0.53,0.22,0.0,XAP,XAP,0.0,0.0,C
635,100725,Cash loans,1223010.0,51948.0,0.0,0.62,0.81,XAP,XAP,0.0,0.0,Not applicable / Not specified
761,100875,Cash loans,260640.0,26838.0,0.0,0.62,0.6,XAP,XAP,0.0,0.0,X
774,100888,Cash loans,900000.0,26446.5,0.0,0.7,0.81,XAP,XAP,0.0,0.0,Not applicable / Not specified
790,100904,Cash loans,348264.0,19575.0,0.0,0.63,0.68,XAP,XNA,0.0,0.0,Not applicable / Not specified
807,100924,Cash loans,1317357.0,52375.5,0.0,0.41,0.63,XAP,XAP,0.0,0.0,Not applicable / Not specified
876,101006,Revolving loans,540000.0,27000.0,0.0,0.43,0.68,HC,XNA,0.0,0.0,Not applicable / Not specified
934,101077,Cash loans,720000.0,46143.0,0.0,0.57,0.0,XAP,XAP,0.0,0.0,0
937,101081,Cash loans,1061599.5,31171.5,0.0,0.16,0.53,XAP,XNA,0.0,0.0,Not applicable / Not specified
996,101153,Cash loans,1113840.0,57001.5,0.45,0.45,0.38,XAP,XAP,0.0,0.0,C
1073,101247,Cash loans,215640.0,9265.5,0.0,0.3,0.71,XAP,XAP,26133.615,0.0,Not applicable / Not specified
1200,101415,Cash loans,585000.0,17235.0,0.0,0.28,0.57,XAP,XAP,0.0,0.0,Not applicable / Not specified
1254,101481,Cash loans,942300.0,36643.5,0.0,0.75,0.31,HC,XAP,0.0,0.0,Not applicable / Not specified
